# Essai vibratoire - poutre encastree - acquisition accelerometre triaxial
# Echantillonnage : 50 Hz - duree 3 s
temps_s;acc_x_g;acc_y_g;acc_z_g
2,22;-0,0140;0,0518;-0,0156
2,24;0,0415;0,0637;0,0001
2,26;0,0666;0,0335;-0,0013
2,28;0,0822;0,0169;-0,0144
2,30;0,0900;0,0083;-0,0096
2,32;0,0116;-0,0323;0,0129
2,34;-0,0150;-0,0235;0,0061
2,36;-0,0307;-0,0323;0,0112
2,38;-0,0630;-0,0090;0,0010
2,40;-0,0592;-0,0191;-0,0157
2,42;-0,0520;-0,0046;0,0108
2,44;-0,0081;0,0462;0,0299
2,46;0,0241;0,0044;-0,0021
2,48;0,0441;0,0016;-0,0084
2,50;0,0585;0,0063;-0,0123
2,52;0,0282;0,0257;0,0016
2,54;0,0048;-0,0199;0,0156
2,56;-0,0198;-0,0153;0,0074
2,58;-0,0154;-0,0025;-0,0112
2,60;-0,0216;-0,0292;-0,0071
2,62;-0,0200;0,0062;0,0038
2,64;-0,0541;0,0148;-0,0014
2,66;-0,0266;0,0066;0,0014
2,68;-0,0269;0,0262;-0,0035
2,70;0,0215;0,0343;0,0044
2,72;0,0278;0,0010;0,0110
2,74;0,0039;-0,0046;-0,0025
2,76;0,0197;-0,0067;-0,0016
2,78;0,0204;-0,0132;-0,0077
2,80;-0,0455;-0,0072;0,0047
2,82;-0,0038;-0,0251;0,0043
2,84;-0,0350;-0,0070;0,0028
2,86;-0,0588;0,0162;0,0040
2,88;0,0145;0,0455;-0,0070
2,90;0,0092;0,0158;0,0198
2,92;-0,0106;0,0219;-0,0109
2,94;-0,0215;-0,0211;-0,0122
2,96;0,0482;-0,0118;-0,0051
2,98;-0,0078;0,0025;-0,0140
3,00;0,0264;-0,0271;-0,0066
